Pos,ID,Name,BV,SV,Team,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,32_eo,33_eo,34_eo,35_eo,36_eo,37_eo,38_eo
M,209,Laurent,4.8,4.8,Burnley,0.00,133.65,0.00,61.05,61.05,61.05,61.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,210,Tchaouna,4.8,4.8,Burnley,16.20,30.90,0.00,16.20,16.20,16.20,16.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,214,Trésor,4.3,4.3,Burnley,5.70,11.40,0.00,5.70,5.70,5.70,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,215,Flemming,5.3,5.3,Burnley,66.60,133.20,0.00,66.60,66.60,66.60,66.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,216,Amdouni,4.8,4.8,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,217,Foster,4.9,4.9,Burnley,51.15,109.35,0.00,51.15,51.15,51.15,51.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,218,Barnes,4.2,4.2,Burnley,1.50,3.00,0.00,1.50,1.50,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,220,Sánchez,4.8,4.8,Chelsea,76.50,121.50,0.00,76.50,76.50,76.50,76.50,0.03,0.04,0.00,0.02,0.02,0.01,0.00
G,221,Jörgensen,4.3,4.3,Chelsea,13.50,58.50,0.00,13.50,13.50,13.50,13.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,224,Cucurella,6.0,6.0,Chelsea,77.85,143.85,0.00,71.25,71.25,71.25,71.25,0.00,0.01,0.00,0.01,0.02,0.01,0.00
D,225,James,5.6,5.6,Chelsea,24.60,123.15,0.00,55.50,55.50,55.50,55.50,0.00,0.01,0.00,0.00,0.01,0.02,0.01
D,226,Chalobah,5.4,5.4,Chelsea,0.00,0.00,0.00,85.95,85.95,85.95,85.95,0.00,0.00,0.00,0.08,0.04,0.06,0.06
D,227,Colwill,4.7,4.7,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,228,Gusto,4.9,4.9,Chelsea,66.00,96.15,0.00,46.95,46.95,46.95,46.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,229,B.Badiashile,4.4,4.4,Chelsea,19.50,34.80,0.00,15.30,15.30,15.30,15.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,230,Fofana,4.4,4.4,Chelsea,70.20,126.15,0.00,43.35,43.35,43.35,43.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,231,M.Sarr,4.5,4.5,Chelsea,19.20,47.70,0.00,11.10,11.10,11.10,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,232,Tosin,4.0,4.0,Chelsea,19.65,42.00,0.00,15.75,15.75,15.75,15.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,233,Acheampong,3.7,3.7,Chelsea,27.75,51.30,0.00,15.30,15.30,15.30,15.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,235,Palmer,10.6,10.6,Chelsea,80.40,160.80,0.00,80.40,80.40,80.40,80.40,0.07,0.11,0.00,0.10,0.02,0.01,0.02
M,236,Neto,7.0,7.0,Chelsea,69.30,146.40,0.00,69.30,69.30,69.30,69.30,0.01,0.02,0.00,0.01,0.02,0.04,0.02
M,237,Enzo,6.5,6.5,Chelsea,0.00,165.90,0.00,81.90,81.90,81.90,81.90,0.11,0.12,0.00,0.10,0.03,0.04,0.03
M,238,Estêvão,6.4,6.4,Chelsea,54.60,66.15,0.00,34.80,34.80,34.80,34.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,239,Gittens,6.0,6.0,Chelsea,0.00,11.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,241,Caicedo,5.7,5.7,Chelsea,84.00,168.90,0.00,84.90,84.90,84.90,84.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,242,Dewsbury-Hall,5.1,5.1,Everton,82.35,82.35,82.35,82.35,82.35,82.35,82.35,0.01,0.00,0.00,0.00,0.02,0.03,0.09
M,243,George,4.8,4.8,Everton,27.45,23.85,23.85,23.85,23.85,23.85,23.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
