id,isResult,h,a,goals,xG,datetime,forecast,season,league
1388,True,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '2', 'a': '1'}","{'h': '2.86526', 'a': '1.93127'}",2016-10-16 17:30:00,"{'w': '0.6115', 'd': '0.2232', 'l': '0.1653'}",2016,Bundesliga
1389,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '1'}","{'h': '0.684268', 'a': '1.82053'}",2016-10-16 19:30:00,"{'w': '0.0918', 'd': '0.2101', 'l': '0.6981'}",2016,Bundesliga
1390,True,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '0', 'a': '3'}","{'h': '0.163638', 'a': '1.31119'}",2016-10-21 22:30:00,"{'w': '0.0365', 'd': '0.2573', 'l': '0.7062'}",2016,Bundesliga
1391,True,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '3', 'a': '3'}","{'h': '1.69325', 'a': '2.51636'}",2016-10-22 17:30:00,"{'w': '0.193', 'd': '0.2278', 'l': '0.5792'}",2016,Bundesliga
1392,True,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '3', 'a': '1'}","{'h': '1.38031', 'a': '0.577877'}",2016-10-22 17:30:00,"{'w': '0.5972', 'd': '0.2745', 'l': '0.1283'}",2016,Bundesliga
1393,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '2', 'a': '1'}","{'h': '1.53071', 'a': '1.23006'}",2016-10-22 17:30:00,"{'w': '0.4445', 'd': '0.3109', 'l': '0.2446'}",2016,Bundesliga
1394,True,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '2', 'a': '1'}","{'h': '1.43523', 'a': '1.35639'}",2016-10-22 17:30:00,"{'w': '0.3544', 'd': '0.317', 'l': '0.3286'}",2016,Bundesliga
1395,True,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '3'}","{'h': '0.598561', 'a': '2.30615'}",2016-10-22 17:30:00,"{'w': '0.0501', 'd': '0.1355', 'l': '0.8144'}",2016,Bundesliga
1396,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '2', 'a': '0'}","{'h': '1.73353', 'a': '0.49977'}",2016-10-22 20:30:00,"{'w': '0.7074', 'd': '0.2159', 'l': '0.0767'}",2016,Bundesliga
1397,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '3', 'a': '1'}","{'h': '3.33619', 'a': '0.913725'}",2016-10-23 17:30:00,"{'w': '0.8978', 'd': '0.079', 'l': '0.0232'}",2016,Bundesliga
1398,True,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '3', 'a': '0'}","{'h': '1.21196', 'a': '0.987414'}",2016-10-23 19:30:00,"{'w': '0.4127', 'd': '0.309', 'l': '0.2783'}",2016,Bundesliga
3299,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '0', 'a': '0'}","{'h': '0.605662', 'a': '0.388618'}",2016-10-28 22:30:00,"{'w': '0.3728', 'd': '0.4424', 'l': '0.1848'}",2016,Bundesliga
3300,True,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '2', 'a': '0'}","{'h': '2.21072', 'a': '0.216935'}",2016-10-29 17:30:00,"{'w': '0.9059', 'd': '0.0801', 'l': '0.014'}",2016,Bundesliga
3301,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '2'}","{'h': '1.1136', 'a': '2.12119'}",2016-10-29 17:30:00,"{'w': '0.1536', 'd': '0.2196', 'l': '0.6268'}",2016,Bundesliga
3302,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '3'}","{'h': '0.724858', 'a': '3.47304'}",2016-10-29 17:30:00,"{'w': '0.0127', 'd': '0.0527', 'l': '0.9346'}",2016,Bundesliga
3303,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '1', 'a': '3'}","{'h': '1.29428', 'a': '1.71134'}",2016-10-29 17:30:00,"{'w': '0.2498', 'd': '0.2788', 'l': '0.4714'}",2016,Bundesliga
3304,True,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '2'}","{'h': '0.199603', 'a': '1.64364'}",2016-10-29 17:30:00,"{'w': '0.0244', 'd': '0.1533', 'l': '0.8223'}",2016,Bundesliga
3305,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '0', 'a': '0'}","{'h': '0.816002', 'a': '0.46649'}",2016-10-29 20:30:00,"{'w': '0.4296', 'd': '0.3863', 'l': '0.1841'}",2016,Bundesliga
3306,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '1', 'a': '0'}","{'h': '2.77857', 'a': '0.251867'}",2016-10-30 18:30:00,"{'w': '0.9238', 'd': '0.0636', 'l': '0.0126'}",2016,Bundesliga
3307,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '3', 'a': '0'}","{'h': '2.93112', 'a': '0.307566'}",2016-10-30 20:30:00,"{'w': '0.9418', 'd': '0.0506', 'l': '0.0076'}",2016,Bundesliga
