id,isResult,h,a,goals,xG,datetime,forecast,season,league
512,True,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '0.361508', 'a': '1.4158'}",2016-09-24 18:00:00,"{'w': '0.0804', 'd': '0.2526', 'l': '0.667'}",2016,EPL
513,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '1'}","{'h': '0.979673', 'a': '0.270862'}",2016-09-24 18:00:00,"{'w': '0.548', 'd': '0.3567', 'l': '0.0953'}",2016,EPL
514,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '3'}","{'h': '1.51457', 'a': '1.7887'}",2016-09-24 18:00:00,"{'w': '0.3215', 'd': '0.2471', 'l': '0.4314'}",2016,EPL
516,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '5', 'a': '1'}","{'h': '4.64913', 'a': '0.157549'}",2016-09-24 18:00:00,"{'w': '0.9966', 'd': '0.0031', 'l': '0.0003'}",2016,EPL
517,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '0.693594', 'a': '1.15724'}",2016-09-24 18:00:00,"{'w': '0.1971', 'd': '0.3117', 'l': '0.4912'}",2016,EPL
518,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '3', 'a': '0'}","{'h': '1.66224', 'a': '0.613553'}",2016-09-24 20:30:00,"{'w': '0.6565', 'd': '0.2356', 'l': '0.1079'}",2016,EPL
519,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '3'}","{'h': '0.693818', 'a': '2.97877'}",2016-09-25 19:00:00,"{'w': '0.0297', 'd': '0.0847', 'l': '0.8856'}",2016,EPL
520,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '0'}","{'h': '0.569734', 'a': '0.776105'}",2016-09-26 23:00:00,"{'w': '0.2333', 'd': '0.3913', 'l': '0.3754'}",2016,EPL
521,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '1.1542', 'a': '0.47692'}",2016-09-30 23:00:00,"{'w': '0.5569', 'd': '0.307', 'l': '0.1361'}",2016,EPL
522,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '2.65842', 'a': '2.02239'}",2016-10-01 15:30:00,"{'w': '0.5431', 'd': '0.2294', 'l': '0.2275'}",2016,EPL
